0,4.20E+01
0.1,4.90E+01
0.2,6.20E+01
0.3,3.70E+01
0.4,3.80E+01
0.5,3.90E+01
0.6,2.20E+01
0.7,3.40E+01
0.8,2.40E+01
0.9,1.40E+01
1,1.70E+01
1.1,1.20E+01
1.2,5.00E+00
1.3,7.00E+00
1.4,4.00E+00
1.5,1.80E+01
1.6,2.90E+01
1.7,3.80E+01
1.8,4.50E+01
1.9,6.50E+01
2,1.01E+02
2.1,1.19E+02
2.2,1.34E+02
2.3,1.95E+02
2.4,2.19E+02
2.5,2.46E+02
2.6,3.11E+02
2.7,3.54E+02
2.8,4.67E+02
2.9,4.65E+02
3,5.11E+02
3.1,6.23E+02
3.2,6.96E+02
3.3,7.25E+02
3.4,7.38E+02
3.5,8.48E+02
3.6,8.56E+02
3.7,9.67E+02
3.8,1.01E+03
3.9,1.02E+03
4,1.10E+03
4.1,1.08E+03
4.2,1.11E+03
4.3,1.13E+03
4.4,1.12E+03
4.5,1.14E+03
4.6,1.14E+03
4.7,1.16E+03
4.8,1.08E+03
4.9,1.09E+03
5,1.02E+03
5.1,1.02E+03
5.2,1.03E+03
5.3,9.22E+02
5.4,8.66E+02
5.5,8.74E+02
5.6,7.29E+02
5.7,6.97E+02
5.8,6.18E+02
5.9,5.62E+02
6,5.46E+02
6.1,4.92E+02
6.2,4.13E+02
6.3,3.43E+02
6.4,2.93E+02
6.5,2.66E+02
6.6,1.94E+02
6.7,1.37E+02
6.8,1.21E+02
6.9,1.08E+02
7,9.10E+01
7.1,5.00E+01
7.2,3.80E+01
7.3,3.30E+01
7.4,1.70E+01
7.5,1.30E+01
7.6,8.00E+00
7.7,1.70E+01
7.8,6.00E+00
7.9,6.00E+00
8,7.00E+00
0,5.80E+01
0.1,4.10E+01
0.2,5.20E+01
0.3,5.10E+01
0.4,4.20E+01
0.5,4.40E+01
0.6,4.40E+01
0.7,3.00E+01
0.8,1.60E+01
0.9,1.20E+01
1,1.40E+01
1.1,1.00E+01
1.2,7.00E+00
1.3,7.00E+00
1.4,1.20E+01
1.5,2.10E+01
1.6,2.70E+01
1.7,2.60E+01
1.8,5.50E+01
1.9,6.20E+01
2,8.50E+01
2.1,1.14E+02
2.2,1.67E+02
2.3,1.89E+02
2.4,2.15E+02
2.5,2.86E+02
2.6,3.13E+02
2.7,3.90E+02
2.8,4.15E+02
2.9,4.77E+02
3,5.77E+02
3.1,5.85E+02
3.2,6.81E+02
3.3,7.73E+02
3.4,7.77E+02
3.5,8.49E+02
3.6,8.52E+02
3.7,9.73E+02
3.8,1.05E+03
3.9,1.00E+03
4,1.07E+03
4.1,1.08E+03
4.2,1.11E+03
4.3,1.13E+03
4.4,1.14E+03
4.5,1.14E+03
4.6,1.17E+03
4.7,1.15E+03
4.8,1.17E+03
4.9,1.04E+03
5,1.05E+03
5.1,1.03E+03
5.2,1.03E+03
5.3,9.09E+02
5.4,8.77E+02
5.5,8.00E+02
5.6,7.56E+02
5.7,7.31E+02
5.8,6.27E+02
5.9,6.20E+02
6,4.63E+02
6.1,4.53E+02
6.2,3.95E+02
6.3,3.65E+02
6.4,3.15E+02
6.5,2.51E+02
6.6,2.12E+02
6.7,1.62E+02
6.8,1.37E+02
6.9,1.04E+02
7,6.60E+01
7.1,5.50E+01
7.2,4.10E+01
7.3,2.00E+01
7.4,9.00E+00
7.5,5.00E+00
7.6,7.00E+00
7.7,4.00E+00
7.8,4.00E+00
7.9,8.00E+00
8,2.00E+00
0,6.00E+01
0.1,5.00E+01
0.2,3.80E+01
0.3,5.00E+01
0.4,4.70E+01
0.5,4.20E+01
0.6,2.70E+01
0.7,3.70E+01
0.8,2.80E+01
0.9,2.20E+01
1,1.10E+01
1.1,1.10E+01
1.2,9.00E+00
1.3,1.00E+01
1.4,9.00E+00
1.5,1.30E+01
1.6,1.40E+01
1.7,3.50E+01
1.8,3.50E+01
1.9,6.40E+01
2,7.60E+01
2.1,9.10E+01
2.2,1.42E+02
2.3,1.59E+02
2.4,2.29E+02
2.5,2.88E+02
2.6,3.17E+02
2.7,3.63E+02
2.8,4.07E+02
2.9,4.68E+02
3,5.45E+02
3.1,5.74E+02
3.2,6.70E+02
3.3,6.98E+02
3.4,7.21E+02
3.5,8.32E+02
3.6,9.20E+02
3.7,9.29E+02
3.8,9.93E+02
3.9,1.03E+03
4,1.10E+03
4.1,1.06E+03
4.2,1.17E+03
4.3,1.16E+03
4.4,1.17E+03
4.5,1.16E+03
4.6,1.09E+03
4.7,1.12E+03
4.8,1.09E+03
4.9,1.12E+03
5,1.03E+03
5.1,1.01E+03
5.2,9.68E+02
5.3,9.49E+02
5.4,8.69E+02
5.5,7.95E+02
5.6,7.65E+02
5.7,7.35E+02
5.8,6.63E+02
5.9,5.29E+02
6,4.83E+02
6.1,4.75E+02
6.2,4.02E+02
6.3,3.27E+02
6.4,3.14E+02
6.5,2.40E+02
6.6,2.01E+02
6.7,1.70E+02
6.8,1.19E+02
6.9,1.07E+02
7,7.30E+01
7.1,4.40E+01
7.2,4.40E+01
7.3,2.50E+01
7.4,1.30E+01
7.5,8.00E+00
7.6,7.00E+00
7.7,6.00E+00
7.8,6.00E+00
7.9,1.00E+00
8,5.00E+00
